set,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,r2_raw,mape_raw
training,1.313991670133146,1.0329279916380636,0.3476311641787818,7589756949.852677,59722581.54982271,-55252901204.77022,11322.920853491467
validation,1.3115514749218529,1.0245738789317926,0.3327024154884538,145080482.01602927,2898764.5696108886,-57660382.659644276,145218689200059.9
