,precision,recall,f1-score,support
Very negative,1.0,0.3333333333333333,0.5,3.0
Negative,0.6923076923076923,0.5625,0.6206896551724138,16.0
Mixed,0.6470588235294118,0.5238095238095238,0.5789473684210527,21.0
Positive,0.7945205479452054,0.7631578947368421,0.7785234899328859,76.0
Very positive,0.9971993410214168,0.9991746450973918,0.9981860158311345,6058.0
accuracy,0.9931972789115646,0.9931972789115646,0.9931972789115646,0.9931972789115646
macro avg,0.8262172809607453,0.6363950793954183,0.6952693058714974,6174.0
weighted avg,0.9927247048789472,0.9931972789115646,0.9928356978230504,6174.0
