video_id,duration,genre,row_index
C4sAUc_ZGMY,743,Science &amp; Technology,24941
Arn9M552Bio,202,Entertainment,24942
H6pLJozRYis,676,Gaming,24943
fDo6TzAIaAE,659,Music,24944
DlHyGlg5S2A,146,News &amp; Politics,24945
Uc_IEVp8EZM,1056,Entertainment,24946
UU6MtPwT_5c,863,Science &amp; Technology,24947
_kjsyd1xuwA,474,Science &amp; Technology,24948
g2971ULKMSg,59,Education,24949
xsJ7S9-mw6I,833,People &amp; Blogs,24950
iOu-8TcacDk,450,Science &amp; Technology,24951
a5ffLo6JSy4,1814,Gaming,24952
1N98nwbTeMc,525,Science &amp; Technology,24953
ajxfoVrXdKw,212,Music,24954
ADrASHFOFNw,203,Music,24955
PuGa9ZFWQFA,1302,Music,24956
WeFmNJikaxg,1014,Science &amp; Technology,24957
A5GJLwWiYSg,135,Film &amp; Animation,24958
ddDHOCstBH8,58,Entertainment,24959
P-3wV-bz2as,182,News &amp; Politics,24960
BUgEY_DSpBc,1363,Science &amp; Technology,24961
EMUH9N3S9PY,2403,Sports,24962
nKC6PLyqTdc,68,Gaming,24963
uvHwyrem24M,314,News &amp; Politics,24964
ID4CzB7cdS0,650,Science &amp; Technology,24965
1dGdulSoZUY,34,Entertainment,24966
1kyVRXKV53w,3251,Gaming,24967
IOV-2eD7HAc,787,Gaming,24968
CUN_jqjK0oM,36,Gaming,24969
Fq5Rsl7WLbc,81,Entertainment,24970
bethOeuIkWI,,,24971
74EvjwlP9jE,569,Entertainment,24972
62U2qxGuXQI,60,Gaming,24973
lsbJvA_ag3c,241,Music,24974
lDEnwxY0DPg,648,Howto &amp; Style,24975
qsXCAoKXfuo,2108,Entertainment,24976
K22_5LBuB9Y,261,Music,24977
9EBKgv9g3Bo,687,Sports,24978
uyrb_0D1O1A,247,News &amp; Politics,24979
YxD3pT8C9-A,,,24980
V0oi5g9gZpM,2359,Sports,24981
KaqJUTNECf0,259,People &amp; Blogs,24982
zTJn1x2oZWA,1486,Entertainment,24983
k6cm6HZzJpc,2140,Gaming,24984
nVMDvcUFh5Q,707,News &amp; Politics,24985
_0QdPynuHn4,1926,Entertainment,24986
6TGZj4epcDg,145,Music,24987
7IpP6j7je5A,239,Music,24988
HGtFkZbTOOM,895,Gaming,24989
dyWbHjOyFOI,610,Gaming,24990
0m-EBkLpReU,650,Entertainment,24991
1Ou1MckZHTA,854,Education,24992
YfTKOTJB1CA,1281,People &amp; Blogs,24993
ayoqtcyNurM,26,People &amp; Blogs,24994
KgNzuNNqAHM,5815,Gaming,24995
wwGYXHSCQW8,677,Sports,24996
WudUuSGmOuM,1279,People &amp; Blogs,24997
4RD4XhtHWT0,809,Gaming,24998
ik5I7i74RpY,572,Gaming,24999
L2RyTI1E_2Q,761,Sports,25000
iHVB6Ed44Ug,584,Sports,25001
t9-4WR-cHu8,1446,Film &amp; Animation,25002
UctPjQg0chg,766,People &amp; Blogs,25003
wWb1J5CX5uI,582,Gaming,25004
9geUMXukevM,338,Comedy,25005
wqL_BahqrF4,769,Sports,25006
FeFMMo_upbQ,50,Music,25007
Vy4Uxo4MEMo,1054,Sports,25008
i14KjBCbSI0,383,Entertainment,25009
SEyYyf_YKcE,264,Music,25010
xyS592Oj1X0,262,Music,25011
WeZLNx5BZeE,934,Entertainment,25012
lu-pnMtl4aw,609,Entertainment,25013
3pv01sSq44w,16785,Science &amp; Technology,25014
ZAV6XlcxVcI,679,Comedy,25015
wmrUhzieByk,125,Comedy,25016
