video_id,duration,genre,row_index
LliKVpAq-Dc,53,Entertainment,150
I8G52aqZwC0,963,Pets &amp; Animals,151
vysBEblWBoQ,,,152
BpXkl4VdFhA,993,Comedy,153
3r3OgTR-7TA,306,Entertainment,155
Dy8hkVGXQLc,42,Entertainment,156
vePc5V4h_kg,996,Science &amp; Technology,157
nk44yPCN3gM,1356,Autos &amp; Vehicles,158
qn515i8xr-4,176,People &amp; Blogs,159
ffonCbGgzt0,427,Sports,160
VnKrSCLIknI,210,Entertainment,161
vbrt_imxZB0,59,Travel &amp; Events,162
92cjFZzTuVM,714,Howto &amp; Style,163
DrlnrRQK84A,712,Entertainment,164
Xrm6TKrPkMo,1468,Entertainment,165
hEU_MnFTJ_c,777,People &amp; Blogs,166
u6nrNuVZlRg,831,Sports,167
t9O1oO_cY68,88,Sports,168
HKPqZAHSPaE,1209,Comedy,169
yqpnJFga4cA,1198,Entertainment,170
rs2Rcu0s_2k,1281,Comedy,171
arijxoU5nB0,601,Comedy,172
jp47GeO6k6Q,851,Sports,173
WOYG1axwLbs,290,Sports,174
yQhLlxLVqwo,149,Music,175
GGEBtW2mWOk,1912,Howto &amp; Style,176
khhxZRo527Q,1146,Travel &amp; Events,177
z0c1XMmL7YM,647,Gaming,178
ogoDpChxRI0,127,Sports,179
Yvlmj0rtnpc,224,Entertainment,180
SlKjYGdGlh0,590,Sports,181
3LqQB4HV8qg,891,Pets &amp; Animals,182
3qxGj18nAR4,1139,People &amp; Blogs,183
GsL8veaFW-s,225,News &amp; Politics,184
qizW1oHBb2k,342,Sports,185
RMhvDrUx9d0,306,Sports,186
Q_KW4u0t07k,247,Comedy,187
oXTcmpnjdBk,29,Sports,188
YFn3NtG4bJ8,160,Sports,189
xX9PYIIgoEA,226,Entertainment,190
1hdqklN35xs,444,Entertainment,191
z1eGtKbfD2o,789,Sports,192
suDsZI8XIuk,190,Music,193
V1jTG5IBU5U,182,Music,194
x-xRboRR56E,510,Sports,195
0a5YhsnITFE,1641,Sports,196
KtWgV3A1xBg,772,Howto &amp; Style,197
QXeZUeD0Xo4,217,Entertainment,198
i_LT5C5pYi4,808,Comedy,199
gf5OaGZWoUU,147,Gaming,200
fJf4DDNae4c,609,Entertainment,201
1mZ1f_8YOEc,370,News &amp; Politics,202
LsmVST67Ui0,,,203
6IN4ZcZAUbA,694,News &amp; Politics,204
qBFRIYNBpwM,754,Comedy,205
JmnxU-ZvsVY,,,206
KcL5jwzFl0k,203,Sports,207
pgbe6rzkDZo,3918,Music,208
ABrm1mQXj38,400,Sports,209
6Taz7ZzPYeI,153,Music,210
KT_bu9QpOFg,53,Comedy,211
B0A1fvE8v_A,297,Music,212
xTpr7piQu2M,218,Gaming,213
lCA0II1sVZA,267,Education,214
YHX4lUSGUBI,360,Sports,215
ltIe2dFloFY,774,Comedy,216
N5KpIE2tz8M,162,Music,217
KKPDREbthbs,3296,Entertainment,218
FQnJRVn3QVk,1055,Entertainment,219
lIgtAxmA800,199,Music,220
