video_id,duration,genre,row_index
jX97eutjwjo,406,Sports,18601
hZ55ocZPwfM,88,Gaming,18602
ykOTgQyzUWo,2205,People &amp; Blogs,18603
4K83iqCzUZ0,174,Sports,18604
PzmsVdgRVcg,22,People &amp; Blogs,18605
PnQWtrO31WA,694,Sports,18606
Lg3DqqRMeFs,570,Sports,18607
ikLVSUePsvg,269,Sports,18608
nB6r1oF2Dv0,12,Comedy,18609
2NXYQ0BrWVE,562,Howto &amp; Style,18610
12k_bjcZ4dE,598,Science &amp; Technology,18611
kg7RMcUqyLA,969,Sports,18612
uYVjVCMPXMY,269,Gaming,18613
MOolsmPtLOU,214,Sports,18614
ZDJrRKYaijc,821,People &amp; Blogs,18615
XvBMrh2RCSk,2205,Entertainment,18616
3lbQjZzAr-c,908,Gaming,18617
e472W8WnMLo,1232,Gaming,18619
sSP4LTS8QXU,481,Entertainment,18620
1GWmGYoRoyU,951,People &amp; Blogs,18621
9DCmaGXeSbs,1260,Entertainment,18622
7oJ_pIaSRtQ,774,Howto &amp; Style,18623
VR3XtsHRzF0,1249,Comedy,18624
6-kZmn54vOs,24,Music,18625
QWQEZOY2GaI,271,Comedy,18626
suZHkUxPzjE,439,Sports,18627
IvQ-mAZwgWs,,,18628
M7j8nAq96os,68,Sports,18629
U2Uj1HlukMw,1299,Howto &amp; Style,18630
EIqmLi9uc9w,802,Entertainment,18631
3quQ4R5nQFw,282,Film &amp; Animation,18632
ersITE-HiLI,1461,Entertainment,18633
qIte9uZO8SM,933,Gaming,18634
VJcQB8BdjSo,394,Sports,18635
xs_ok7fF_s4,104,Film &amp; Animation,18636
1a4E4Vy8e58,291,Autos &amp; Vehicles,18637
lC4TnpL9uqc,1758,Gaming,18638
5n6qD_WfzPk,59,Music,18639
WVQk9rC7kSE,285,Sports,18640
Ow3bMlScrzs,922,Gaming,18641
aUIe76FkVmU,534,Entertainment,18642
ViCBYhDhJOU,51,Comedy,18643
yFtLvm_cCcI,2672,Gaming,18644
asbAlDd6wrM,619,People &amp; Blogs,18645
HVH6wDodlxo,198,Sports,18646
o1wauijh03I,60,Comedy,18647
ty0yXooYb_4,84,Sports,18648
BimDvi45LjA,776,Sports,18649
T-rIWP1icf4,2057,Entertainment,18650
VmGWBeKUDLU,18,Comedy,18651
moj2wnzvQjY,1111,Gaming,18652
WhVYczfSZNc,763,Gaming,18653
mSezY1gQbwE,3793,Sports,18654
5qhMD9aacTE,2163,Sports,18655
MXrs-TfAiyQ,554,Sports,18656
t7GiXJ-W4HI,21,Comedy,18657
3sZN4OfgSyE,797,Sports,18658
wXPTu_lqgXU,299,Music,18659
3gJjYjIGGME,27,Sports,18661
3G14zHDA_0Q,24,Sports,18662
5Y6MqneBcE8,99,Sports,18663
oZOU306yv2g,230,Music,18664
8HAR3QBuiiU,511,Entertainment,18665
UWJpacLKOcI,98,Sports,18666
Cyv1KmW3Lo0,359,Sports,18667
Wig95n7_lks,1193,Sports,18668
0TpyqMbHAOA,310,Sports,18669
T6n7lZirQkA,26,Comedy,18670
NomNUt2sT7k,283,Sports,18671
DvsvttXiRb8,3065,Sports,18672
xFEAOzWLx8Y,1370,Howto &amp; Style,18673
3gqk627cSz0,59,Sports,18674
BX9uoVR3SVo,219,Music,18675
mLr2GN0zvc4,357,Entertainment,18676
2IkoKhr6Tss,222,Music,18677
GOXLaQudBZM,23,Music,18678
dl9yE1DcbwQ,2305,Entertainment,18679
DPuyCLN5Kw4,2625,Sports,18680
TEsqxYGRmbM,88,Gaming,18681
1ozOJXxa8O0,38,Education,18682
d91O98Y9bwU,59,Autos &amp; Vehicles,18683
GkUGkPYB-aY,,,18684
mQ-0BrlzIZQ,211,People &amp; Blogs,18685
V6pq4BK0WGs,39,People &amp; Blogs,18686
CB2Ry9Kr9WA,183,Comedy,18687
jWa5G4xXzZA,185,Entertainment,18688
LkMXwTmK5wA,,,18689
x6jvAArfPcQ,109,Gaming,18690
70QDhd7YTUw,47,Gaming,18691
2cQQWl07AXI,1223,Entertainment,18692
ZGIY1agr3gg,14,Music,18693
DAOORZP42lM,1050,Gaming,18694
KqujXoZZYtc,1493,People &amp; Blogs,18695
ANKMmn0PUmM,676,Gaming,18696
lCa9uX6IpfM,594,Entertainment,18697
GBc2XxDkMuI,1700,Autos &amp; Vehicles,18698
IK87gdZxCRo,101,Music,18699
TWca74Tivec,534,Comedy,18700
h3m3BmvFA3c,90,Gaming,18701
gprMpm-rxfg,215,Entertainment,18702
bUF_w3yHmv0,25,Education,18703
YxAU31eMzbc,410,Sports,18704
jvwUbTl3nrk,731,Gaming,18705
FBBXTWYUMqM,40,Gaming,18706
iZghURWuKSw,191,Music,18707
cL7d34FgNpo,753,Gaming,18708
f9gzhz4hS7s,204,Entertainment,18709
YDehiCsDar8,767,Comedy,18710
pXI3Vu9h2XU,575,Sports,18711
Jekinu6pgnQ,29,People &amp; Blogs,18712
UaDt3SMPGAQ,476,Gaming,18713
pJvLwr6GPJE,253,Entertainment,18714
ByW4qeLrgqc,866,Entertainment,18715
qUoR1-z5hD4,509,Sports,18716
QdxIT2681vU,675,Science &amp; Technology,18717
S0LVnxfn5n4,1383,Science &amp; Technology,18718
bUAZvN_ROeA,1406,Gaming,18719
A2T-52AuMvo,581,Science &amp; Technology,18720
Ww6yfyqODIk,308,Sports,18721
fxZGUgZF0PI,32,Sports,18722
qUc4e0G-dRg,1434,Gaming,18723
zesbn-A78mA,1116,Travel &amp; Events,18724
_GyZB2o3l6c,52,Entertainment,18725
uuQZtHHZzW0,38,Entertainment,18726
bKV7-HT4OdI,1239,Gaming,18727
0ybiHCxNb3w,123,News &amp; Politics,18728
uRdgyeRDfgc,598,Sports,18729
4ijj5zMaMqo,556,Sports,18730
yhfqLIDwC1c,974,Entertainment,18731
WVarToFY23w,256,Music,18732
8FXhDZ5Upks,601,Science &amp; Technology,18733
4vt3vqmNwco,39,Sports,18734
QJonv5QRcEQ,72,Gaming,18735
0GxSgk4uWeU,85,Gaming,18737
xVJZ40vqnIk,682,Gaming,18738
mtHRN9LpZ8g,612,Gaming,18739
aFycfxIYQ6c,23,Music,18740
sVT6lhoONK0,721,Gaming,18741
6ToI_-Qp6VM,636,Gaming,18742
nWh-wOlMUmc,1054,Gaming,18743
GlyCyK3SR0I,2562,Entertainment,18744
96MN5IyhcDA,840,Autos &amp; Vehicles,18745
DW9n234a1M8,,,18746
QLLRObk8Wfc,805,Gaming,18747
J5zWqT7pVIE,741,People &amp; Blogs,18748
kMRe5mEMXaE,143,Entertainment,18749
0HgvMc05Fec,59,Autos &amp; Vehicles,18750
BgrQ1YntfNY,822,Gaming,18751
fCqGfjBSk0I,123,Film &amp; Animation,18752
ah5G2EXKgvA,280,People &amp; Blogs,18753
zAjoqcQXw6Y,1059,Gaming,18754
KbJAiws4nGk,635,Howto &amp; Style,18755
8ctIpYaWnv8,,,18757
0maWbr0FHKY,55,Gaming,18758
9JQeSYs-ouU,44,Entertainment,18759
rVCjpXOpxzo,853,Sports,18760
9fJ7YtJQJ0w,30,Sports,18761
1T-_jr8Fm04,631,Gaming,18762
BdVv1oXNQDU,729,Gaming,18763
WqMwphnRX-Q,1317,Gaming,18764
L6QJS8djygk,711,People &amp; Blogs,18765
3lfnR7OhZY8,256,Music,18766
T5Iuog6ZfkI,1060,Entertainment,18767
4RReihgFMDw,825,Sports,18768
12SIdkbp3AU,1028,Entertainment,18769
5SbGFdhVwZo,85,Entertainment,18770
OKMoXkF3Yww,554,Film &amp; Animation,18771
HRgz5RM_jyQ,2258,Entertainment,18772
gTORP989PxY,481,Gaming,18773
0PxmJDdgt4Y,151,News &amp; Politics,18774
mwE5ohl3lb0,94,Sports,18775
uQYyChZSj00,286,Entertainment,18776
jft49jbtbxU,1863,Gaming,18777
dJgpE3RHIn0,514,Gaming,18778
gaWB0Rq1fZA,573,Gaming,18779
tjmzfOUOw08,1235,Howto &amp; Style,18780
kd9A_TAQXn0,769,Entertainment,18781
IJYoOrtkfgg,423,Gaming,18782
opefDau1kg8,1872,Entertainment,18783
wN07l7-uyMc,677,Entertainment,18784
9mm0KO4ipXo,25,Gaming,18785
V7oLtAxybZo,1432,Gaming,18786
N3v3kEH6DuQ,584,Film &amp; Animation,18787
3WAkPJ6654o,1370,Education,18788
wGKb3oUo8go,704,Science &amp; Technology,18789
boSCe_r_RNA,25,Music,18790
L5auszWNn8A,650,Autos &amp; Vehicles,18791
m6H6ueULmGI,38,Gaming,18792
nnzW2raVQKE,1034,People &amp; Blogs,18793
JkWnQZLv55g,481,Gaming,18794
iLjXAvIOUww,481,Gaming,18795
Bx8RKOSLIyI,,,18796
CZJvBfoHDk0,,,18797
G4WobSPLUYE,423,Sports,18798
xl7wBpOU9YU,289,Sports,18799
iHkWwsF5gTM,319,Music,18800
HW8tKKPDqD8,1448,Entertainment,18802
XA2YEHn-A8Q,214,Music,18803
7jckbhixp_w,216,Music,18804
PVbk7YPAx7Q,935,Gaming,18805
PcHmIbWJ6Q0,,,18806
