video_id,duration,genre,row_index
o612C1l5zz4,9505,Sports,6201
SYdGhqZojn4,186,News &amp; Politics,6202
fdQqDl_edFc,672,Howto &amp; Style,6204
qvLVtsC-HTE,830,People &amp; Blogs,6205
4TM3qjfKtic,497,Sports,6206
5B71pwzVEPg,592,Entertainment,6207
vsofSoht7TQ,739,Travel &amp; Events,6208
eiQdq6coWYE,621,Autos &amp; Vehicles,6209
Hup7TxTDkSI,590,Autos &amp; Vehicles,6210
8bjJrCL9UUU,1087,Entertainment,6211
77mRU6soIeo,30,People &amp; Blogs,6212
kUok7mvWgjk,727,Gaming,6213
2ulpkaGLGDI,740,Entertainment,6214
LIJROevXTR0,235,Sports,6215
2X2UX2i163U,181,Sports,6216
nRGNfqVvPtk,1221,Gaming,6217
YyD2Xd5OXGg,879,Howto &amp; Style,6218
4ufU5if_DB0,,,6219
gUl-WHAL9qo,1511,Entertainment,6220
hLQGsWA6ST8,1083,Film &amp; Animation,6221
Ebjv8O_dmEg,,,6222
Fz8gEHZdU9A,,,6223
o3ik8h0O1x0,28983,Gaming,6224
Kila_j0KaQE,608,Entertainment,6225
kRD0C2re0YM,344,People &amp; Blogs,6226
TmIZgF7gnv0,7415,Sports,6227
3JZp9shoR-U,6883,Sports,6228
ZQXKAgylBx8,177,Sports,6229
KHWCsNylkZo,639,Sports,6230
DRrkPyNJTeA,145,News &amp; Politics,6231
on1F-yR0vRU,90,Sports,6232
yYlLBXuLWI4,229,Sports,6233
Kh7lT4BT3PE,489,Sports,6234
tl57Gy5X_Kg,180,Film &amp; Animation,6235
uobXYTe0YP4,159,News &amp; Politics,6236
IATYF7wbbY0,95,Sports,6237
X01siIG2Uas,734,Howto &amp; Style,6238
HknlyJVc7AQ,726,Sports,6239
HrFL4gDa9KU,900,Sports,6240
NAmPV5pF1YA,181,Music,6241
IyoCP9tgzwc,49,Music,6242
T3MDyQ9nrV8,716,Sports,6243
I9sciRMnE1c,1153,Sports,6244
Fe6o6zV8Ukg,67,News &amp; Politics,6245
xKvbSboQ5_g,,,6246
TDY3OV1WJmw,602,Entertainment,6247
2s13PHMZiSY,550,Music,6248
xLAf86thEXQ,1886,Gaming,6249
eFJms_VUklI,180,Entertainment,6250
nJpNPTJB67c,996,Howto &amp; Style,6251
M6_IZFUjLmg,484,Howto &amp; Style,6252
kBzzagVv1cs,507,Entertainment,6253
vlk1z44sF18,541,Gaming,6254
xFtSvUofTPs,702,News &amp; Politics,6255
4oXIyK5hQY4,263,Music,6256
hpAtLuncsWk,245,Sports,6257
bySGXXftWJA,274,Music,6258
AOJWJHzyNkw,,,6259
yjetoy-RKQ8,104,Music,6260
pH8mu6-FvE0,497,Music,6261
m__OZ3ZsO4Y,500,Education,6262
i-yuF2kRHrc,82,People &amp; Blogs,6263
amCP5_V385U,973,Entertainment,6264
96a1k6QbrIY,,,6265
8xjE0cGsFHY,189,Music,6266
wmVr70ivbE4,509,People &amp; Blogs,6267
f9OVdmIxkso,144,Entertainment,6268
q63pY_p2pKs,185,Music,6269
rb1jJzpAJ9I,183,Gaming,6270
kEtfvFHuhCw,1753,Howto &amp; Style,6271
6qREk4UcxQU,501,People &amp; Blogs,6272
VEU5fmgvUj4,630,Gaming,6273
AHRM_QNvp9E,1356,Entertainment,6274
VV6_T8A51Lw,298,Gaming,6275
h58HkQV1gHY,149,Entertainment,6276
lq1IbOp2KQA,,,6277
_BCY0SPOFpE,1026,Education,6278
yJjyOpcYZOw,533,News &amp; Politics,6279
5bHCWx-8jJA,442,Entertainment,6280
IohwvUl7x08,329,Sports,6281
L_J5kGI0YLM,1899,Sports,6282
YbS72K1NdZE,156,Music,6283
Gra-5VPvzd4,176,Music,6284
6iezZjfWZas,464,Science &amp; Technology,6285
xBe-36v3lQo,859,Sports,6286
P627ONn-vHI,395,People &amp; Blogs,6287
OT8AdwV0Vkw,,,6288
9P4bMIDpWXw,404,Gaming,6289
oZqVUgMR3Xo,921,People &amp; Blogs,6290
uLRZoJa9elg,66,Entertainment,6291
2NxT64tVRf0,909,People &amp; Blogs,6292
FOzQswWSza0,1252,Entertainment,6293
_yS9-jLbJ_A,286,Gaming,6294
77UjCH2yoqc,21623,Science &amp; Technology,6295
a966sfszNa8,742,Sports,6296
JWA2m5RRCko,715,Entertainment,6297
ylzsDdWsP3Y,121,News &amp; Politics,6298
7YwfApXpdJE,30,People &amp; Blogs,6299
zXu0VKjOWyY,693,Music,6300
l0lBI1OPOgk,455,Music,6301
PwkbzvIn_WA,393,Sports,6302
