Dataset,RMSE_Log,MAE_Log,R2_Log,RMSE_Raw,MAE_Raw,R2_Raw,MAPE_Raw
Training,0.5285428076145043,0.40282349690788904,0.8944475503568226,15202.189553441583,1802.6031123478108,0.7783275932713097,42.656965177320025
Validation,0.6484774452643502,0.48904471627278495,0.8368682018247683,8092.456347676564,1793.1661302593723,0.8206008921558196,1.0048277237297628e+16
